,Unnamed: 0,sent_id,sys_name,test_set,bleu,sari,fkgl,bertscore_F1,PPL,SLOR,S_axis,M_axis,G_axis,Mref_score,QuestEval,sle,samsa
0,0,1,NTS-h1_default_model,hsplit,82.83991146060845,75.64540825627661,-19.42777777777778,0.8167089223861694,51.72962406625607,2.2409881559635605,0.49999999999937395,1.0,0.901133118730031,0.8290639094125949,0.8906312527619201,-0.992753267288208,50.0
1,1,2,NTS-h1_default_model,hsplit,60.35911889895248,60.51969460247133,-11.765714285714283,0.6536204814910889,20.59629976995841,3.4494141106295144,0.5027640235435814,0.9532338089700252,0.848440065358924,0.7918915966299699,0.8621883740080307,0.678302526473999,30.555555555555557
2,2,3,NTS-h1_default_model,hsplit,93.91044157537527,80.12312608264631,-5.196666666666669,0.9436307549476624,132.09937214206582,0.9041495352609614,0.499999999999693,1.0,1.0,0.8660254037843795,0.9219901274751736,2.344151735305786,100.0
3,3,4,NTS-h1_default_model,hsplit,66.8124885609822,56.16706382581065,-9.830526315789475,0.7569348812103271,48.050049518123465,2.2788494414549048,0.499999999999687,1.0,1.0,0.8660254037843784,0.5197906176249186,1.07151460647583,33.33333333333333
4,4,5,NTS-h1_default_model,hsplit,6.213916408061037,22.73219704361782,-3.84,0.4438264071941376,106.3138601770993,1.3186770772635328,0.625885532463295,0.5530470318512103,0.9667175678776633,0.7375944177368301,0.7661739928578888,3.6991562843322754,7.8125
5,5,6,NTS-h1_default_model,hsplit,63.40466277046863,50.84440405273739,0.0,0.7878513932228088,71.08761672357655,2.1042759515532143,0.49999999999972006,1.0,0.8323657214460987,0.8047427527349355,0.8021823396285376,3.288316011428833,100.0
6,6,7,NTS-h1_default_model,hsplit,91.21679090703871,74.93814664867297,-6.726153846153847,0.927379310131073,41.11563504873945,2.3030357194818496,0.499999999999719,1.0,1.0,0.8660254037843845,0.6645540992418925,0.6918296813964844,100.0
7,7,8,NTS-h1_default_model,hsplit,68.26835693181336,61.84176195444263,-8.619230769230771,0.7329208850860596,108.78230655940855,1.3023912897993395,0.5012235762640938,0.9350695380527151,0.9025154083171837,0.8041795356442528,0.6361547596752644,1.3106749057769775,100.0
8,8,9,NTS-h1_default_model,hsplit,80.29567848001706,33.28971005151726,-13.72848484848485,0.7403323650360107,54.34013561499703,2.5662822083824763,0.49999999999948264,1.0,0.8196119794536801,0.8003673733279116,0.5944532455117614,0.0814728140830993,20.0
9,9,10,NTS-h1_default_model,hsplit,4.8612803010202175,37.583943676536045,-18.59,0.3992616236209869,30.030508408574534,2.8540413337608355,0.7056948482616426,0.47381596933246417,0.8464406985195138,0.6925721738003647,0.5691080878762638,0.9701924324035645,13.88888888888889
10,10,11,NTS-h1_default_model,hsplit,50.749736432468175,55.79875999632012,-5.483157894736844,0.4961974918842316,27.014309081119624,3.527841262293704,0.5078718107206928,0.9706968897545059,0.7597680934634029,0.7697258784244342,0.5473604530096055,2.6688036918640137,50.0
11,11,12,NTS-h1_default_model,hsplit,93.91044157537527,32.065362963950896,-9.130000000000004,0.953506588935852,63.88672828521814,1.6703537469215142,0.49999999999962297,1.0,0.8629841436202931,0.8154225146388167,0.4648807247479757,1.275882601737976,33.33333333333333
12,12,13,NTS-h1_default_model,hsplit,2.6968940441095075,33.12523261052673,-3.7550000000000026,0.6236042380332947,36.15858730463131,2.7766766215513714,0.5441307646743316,0.6687255106012568,0.8309965354722635,0.6913338169945807,0.5425338016615974,3.69183087348938,25.0
